City,State,population,Lon,Lat
Pueblo,Colorado,107577,-104.6124,38.2731
Aurora,Colorado,332354,-97.1247,32.7007
Stamford,Connecticut,123868,-73.546,41.0799
Bridgeport,Connecticut,145638,-73.1957,41.1874
Columbus,Georgia,194107,-84.8749,32.5102
Atlanta,Georgia,432427,-84.4227,33.7629
Athens,Georgia,116084,-83.3701,33.9496
Augusta,Georgia,196494,-82.0734,33.3655
Savannah,Georgia,139491,-81.1536,32.0025
Honolulu,Hawaii,340936,-157.8453,21.3259
Boise,Idaho,210145,-116.2311,43.5985
Springfield,Illinois,117076,-89.6708,39.7639
Peoria,Illinois,115234,-89.6171,40.7523
Rockford,Illinois,152222,-89.0628,42.2634
Elgin,Illinois,109104,-88.3217,42.0396
Aurora,Illinois,199672,-88.2901,41.7635
Naperville,Illinois,142773,-88.162,41.7492
Joliet,Illinois,148402,-88.1584,41.5181
Chicago,Illinois,2707120,-87.6818,41.8376
Evansville,Indiana,117825,-87.5347,37.9877
South Bend,Indiana,101081,-86.269,41.6769
Indianapolis,Indiana,827609,-86.1459,39.7767
Fort Wayne,Indiana,255824,-85.1439,41.0882
Des Moines,Iowa,206599,-93.6167,41.5739
Cedar Rapids,Iowa,127905,-91.6778,41.967
Davenport,Iowa,100802,-90.604,41.5541
Wichita,Kansas,384445,-97.3427,37.6907
Topeka,Kansas,128188,-95.6948,39.0362
Olathe,Kansas,127907,-94.8188,38.8843
Kansas City,Kansas,146453,-94.7418,39.1225
Overland Park,Kansas,176185,-94.6906,38.889
Louisville,Kentucky,602011,-85.6667,38.1781
Lexington,Kentucky,301569,-84.4584,38.0402
Shreveport,Louisiana,200975,-93.7927,32.467
Lafayette,Louisiana,122130,-92.0314,30.2116
Baton Rouge,Louisiana,230139,-91.1259,30.4485
New Orleans,Louisiana,360740,-89.939,30.0686
Baltimore,Maryland,619493,-76.6105,39.3002
Springfield,Massachusetts,153155,-72.54,42.1155
Worcester,Massachusetts,181631,-71.8078,42.2695
Lowell,Massachusetts,107584,-71.3221,42.6389
Cambridge,Massachusetts,106038,-71.1183,42.376
Boston,Massachusetts,625087,-71.0202,42.332
Grand Rapids,Michigan,189815,-85.6556,42.9612
Lansing,Michigan,114605,-84.5562,42.7098
Ann Arbor,Michigan,114925,-83.7313,42.2756
Flint,Michigan,101558,-83.692,43.0244
Detroit,Michigan,706585,-83.1022,42.383
Sterling Heights,Michigan,129880,-83.0303,42.5812
Warren,Michigan,134243,-83.025,42.4929
Minneapolis,Minnesota,387753,-93.2683,44.9633
Saint Paul,Minnesota,288448,-93.1039,44.9489
Rochester,Minnesota,107890,-92.4772,44.0154
Jackson,Mississippi,175561,-90.2128,32.3158
Kansas City,Missouri,463202,-94.5511,39.1252
Independence,Missouri,117213,-94.3513,39.0853
Springfield,Missouri,160660,-93.2913,37.1942
Columbia,Missouri,110438,-92.3261,38.9479
St. Louis,Missouri,318069,-90.2446,38.6357
Billings,Montana,105636,-108.5499,45.7895
Lincoln,Nebraska,262341,-96.6804,40.809
Omaha,Nebraska,415068,-96.0419,41.2647
Reno,Nevada,227511,-119.7765,39.4745
Las Vegas,Nevada,589317,-115.264,36.2277
North Las Vegas,Nevada,219020,-115.0893,36.283
San Antonio,Texas,1359758,-98.5251,29.4724
McAllen,Texas,133742,-98.2461,26.2185
Austin,Texas,820611,-97.756,30.3072
Mobile,Alabama,194914,-88.1002,30.6684
Birmingham,Alabama,212413,-86.799,33.5274
Huntsville,Alabama,182956,-86.539,34.7843
Montgomery,Alabama,208182,-86.2686,32.3463
Anchorage,Alaska,295570,-149.2744,61.1775
Surprise,Arizona,119489,-112.4527,33.6706
Peoria,Arizona,156637,-112.3111,33.7877
Glendale,Arizona,230482,-112.1899,33.5331
Phoenix,Arizona,1469471,-112.088,33.5722
Tempe,Arizona,164268,-111.9318,33.3884
Chandler,Arizona,240101,-111.8549,33.2829
Scottsdale,Arizona,221020,-111.8237,33.6687
Gilbert,Arizona,211951,-111.7422,33.3102
Mesa,Arizona,446518,-111.7174,33.4019
Tucson,Arizona,525796,-110.8711,32.1543
Little Rock,Arkansas,195314,-92.3586,34.7254
San Francisco,California,812826,-123.0322,37.7272
Santa Rosa,California,169292,-122.7061,38.4468
Daly City,California,102362,-122.465,37.7009
Richmond,California,105380,-122.3594,37.953
Berkeley,California,113905,-122.2991,37.8667
Vallejo,California,116829,-122.2639,38.1079
Oakland,California,395817,-122.2256,37.7699
Hayward,California,146069,-122.1063,37.6281
Fairfield,California,106126,-122.0397,38.2568
Sunnyvale,California,142287,-122.0263,37.3858
Concord,California,124055,-122.0016,37.9722
Santa Clara,California,118263,-121.9679,37.3646
Fremont,California,216916,-121.9411,37.4944
San Jose,California,967487,-121.8193,37.2969
Antioch,California,104044,-121.7976,37.9775
Salinas,California,152994,-121.6337,36.6902
Sacramento,California,472178,-121.4686,38.5666
Elk Grove,California,154908,-121.3849,38.4144
Stockton,California,296357,-121.3133,37.9763
Roseville,California,121767,-121.3032,38.7657
Modesto,California,202751,-120.9891,37.6609
Santa Maria,California,100277,-120.4438,34.9332
